X,Y,ux,uy,sigma_xx,sigma_yy,sigma_xy,strain_xx,strain_yy,strain_xy,magnitude
1.3636364,2.4242425,-0.0031496175,-0.012623489,-43.624348,-101.06012,-51.062225,-1.8980767e-05,-0.0049967477,-0.008850786,0.013010479
1.3636364,2.4646466,-0.0031823628,-0.01282385,-44.42815,-100.14328,-52.222378,-9.15824e-05,-0.0049202275,-0.009051879,0.013212818
1.3636364,2.5050504,-0.0032114163,-0.013020985,-45.319004,-99.13132,-53.359184,-0.00017193862,-0.0048356727,-0.009248925,0.0134111615
1.3636364,2.5454545,-0.0032365583,-0.013214506,-46.318768,-98.02249,-54.46683,-0.00026142033,-0.00474241,-0.0094409175,0.013605091
1.3636364,2.5858586,-0.003257081,-0.013404071,-47.42838,-96.79418,-55.549393,-0.00036067303,-0.0046390425,-0.009628561,0.013794119
1.3636364,2.6262627,-0.003272403,-0.013589188,-48.6129,-95.41494,-56.610317,-0.0004683941,-0.004524571,-0.009812455,0.013977649
1.3636364,2.6666667,-0.003282033,-0.01376953,-49.848694,-93.87735,-57.637863,-0.0005833428,-0.0043991604,-0.009990563,0.0141552705
1.3636364,2.7070708,-0.003285341,-0.013944574,-51.147503,-92.20617,-58.6054,-0.0007055878,-0.0042640064,-0.010158269,0.01432636
1.3636364,2.7474747,-0.0032816418,-0.01411397,-52.50768,-90.41487,-59.492645,-0.00083467906,-0.0041199694,-0.010312058,0.014490456
1.3636364,2.7878788,-0.0032703094,-0.0142773315,-53.91465,-88.487144,-60.296085,-0.0009701564,-0.003966439,-0.0104513215,0.014647086
1.3636364,2.8282828,-0.003250517,-0.014434375,-55.361847,-86.40401,-61.012863,-0.0011121143,-0.0038024357,-0.010575563,0.014795845
1.3636364,2.868687,-0.0032215193,-0.014584482,-56.84546,-84.154785,-61.63255,-0.0012606003,-0.0036274083,-0.010682975,0.01493604
1.3636364,2.909091,-0.0031824373,-0.014727369,-58.35748,-81.73216,-62.13938,-0.0014153176,-0.003441123,-0.010770826,0.015067292
1.3636364,2.9494948,-0.0031324401,-0.014862411,-59.885094,-79.12898,-62.514595,-0.0015756753,-0.0032434794,-0.010835863,0.015188925
1.3636364,2.989899,-0.0030703507,-0.014989242,-61.4116,-76.33742,-62.737614,-0.0017408641,-0.0030344352,-0.010874519,0.015300471
1.3636364,3.030303,-0.0029952526,-0.015107468,-62.91721,-73.35036,-62.785515,-0.0019098684,-0.002814074,-0.010882822,0.01540153
